,NUM_TERMS,DECIMAL_PLACES_PRECISION,DECIMAL_PLACES_VAR,TIME_MS
0,1,13,0,7.075570600000001
1,2,27,13,11.369330999999999
2,3,41,27,15.6841862
3,4,55,41,19.97087
4,5,70,55,23.1574874
5,6,84,70,26.6890012
6,7,98,84,30.5388692
7,8,112,98,34.4761394
8,9,127,112,38.6345518
9,10,141,127,42.5483416
10,11,155,141,46.724883999999996
11,12,169,155,51.397029999999994
12,13,183,169,54.86690639999999
13,14,198,183,58.7662198
14,15,212,198,62.8319628
15,16,226,212,66.8432318
16,17,240,226,72.788735
17,18,254,240,75.0375932
18,19,269,254,80.8631326
19,20,283,269,83.2475324
20,21,297,283,87.418632
21,22,311,297,91.4185866
22,23,325,311,95.7007158
23,24,340,325,100.1062082
24,25,354,340,103.8670662
25,26,368,354,107.6843826
26,27,382,368,112.40975599999999
27,28,396,382,116.307978
28,29,410,396,121.12414040000002
29,30,425,410,125.1067094
30,31,439,425,128.24631540000001
31,32,453,439,132.87149119999998
32,33,467,453,136.6060958
33,34,481,467,140.967752
34,35,496,481,144.8653474
35,36,510,496,149.2990134
36,37,524,510,153.55134779999997
37,38,538,524,157.7759292
38,39,552,538,162.0297666
39,40,567,552,166.1235126
40,41,581,567,170.76260459999997
41,42,595,581,174.9527748
42,43,609,595,178.888302
43,44,623,609,183.1973774
44,45,637,623,187.32279739999998
45,46,652,637,191.43346939999998
46,47,666,652,196.30692960000002
47,48,680,666,199.6726218
48,49,694,680,206.531096
49,50,708,694,207.61943860000002
50,51,723,708,213.39070099999998
51,52,737,723,216.66294040000002
52,53,751,737,221.59170840000002
53,54,765,751,225.8864468
54,55,779,765,232.47038419999998
55,56,793,779,234.05316899999997
56,57,808,793,239.765734
57,58,822,808,242.78015380000002
58,59,836,822,246.59927040000002
59,60,850,836,257.1359842
60,61,864,850,256.5293438
61,62,879,864,261.073875
62,63,893,879,263.5791378
63,64,907,893,269.8428566
64,65,921,907,272.833522
65,66,935,921,277.1695938
66,67,950,935,282.885067
67,68,964,950,289.06847639999995
68,69,978,964,290.8108984
69,70,992,978,294.2028554
70,71,1006,992,299.8024636
71,72,1020,1006,304.898948
72,73,1035,1020,309.421202
73,74,1049,1035,314.3795452
74,75,1063,1049,316.147644
75,76,1077,1063,321.65448879999997
76,77,1091,1077,326.9369858
77,78,1106,1091,329.42922680000004
78,79,1120,1106,334.2796542
79,80,1134,1120,340.3074458
80,81,1148,1134,345.5855058
81,82,1162,1148,348.7807288
82,83,1176,1162,352.3214066
83,84,1191,1176,357.0025278
84,85,1205,1191,360.64462
85,86,1219,1205,363.867715
86,87,1233,1219,370.366155
87,88,1247,1233,375.0979954
88,89,1262,1247,382.1508996
89,90,1276,1262,385.37331
90,91,1290,1276,388.82151039999997
91,92,1304,1290,392.83672820000004
92,93,1318,1304,397.34468860000004
93,94,1333,1318,401.4036624
94,95,1347,1333,405.8059718
95,96,1361,1347,409.4988788
96,97,1375,1361,416.03239379999997
97,98,1389,1375,418.4662534
98,99,1403,1389,425.0988236
99,100,1418,1403,428.84560220000003
100,101,1432,1418,434.9394246
101,102,1446,1432,437.9419916
102,103,1460,1446,440.69590179999994
103,104,1474,1460,446.7397874
104,105,1489,1474,451.5295396
105,106,1503,1489,456.33314659999996
106,107,1517,1503,460.4150304
107,108,1531,1517,464.978093
108,109,1545,1531,469.934277
109,110,1559,1545,472.5421392
110,111,1574,1559,477.79857499999997
111,112,1588,1574,483.92304619999993
112,113,1602,1588,488.103174
113,114,1616,1602,495.4630968
114,115,1630,1616,497.1478936
115,116,1645,1630,501.40671940000004
116,117,1659,1645,506.2189781999999
117,118,1673,1659,510.8625682
118,119,1687,1673,515.4327694
119,120,1701,1687,521.9070217999999
120,121,1715,1701,527.3564016
121,122,1730,1715,528.3651508
122,123,1744,1730,532.6885386
123,124,1758,1744,537.7553912
124,125,1772,1758,543.5752966
