,MODE,VEC_SIZE,TIME_MS
0,BLOCK16,10,4e-05
1,BLOCK16,15,5e-05
2,BLOCK16,20,3.82e-05
3,BLOCK16,25,4.22e-05
4,BLOCK16,30,3.62e-05
5,BLOCK16,35,4.22e-05
6,BLOCK16,40,4.2000000000000004e-05
7,BLOCK16,45,4e-05
8,BLOCK16,50,6.24e-05
9,BLOCK16,55,5.2400000000000007e-05
10,BLOCK16,60,5.8399999999999997e-05
11,BLOCK16,65,4.82e-05
12,BLOCK16,70,4.8e-05
13,BLOCK16,75,4.4e-05
14,BLOCK16,80,4.62e-05
15,BLOCK16,85,5e-05
16,BLOCK16,90,6.2e-05
17,BLOCK16,95,5.8e-05
18,BLOCK16,100,6.2e-05
19,BLOCK16,105,6.8e-05
20,BLOCK16,110,7.800000000000001e-05
21,BLOCK16,115,6.2e-05
22,BLOCK16,120,5.2000000000000004e-05
23,BLOCK16,125,5.4e-05
24,BLOCK16,131,6.24e-05
25,BLOCK16,137,5.6000000000000006e-05
26,BLOCK16,143,5.8e-05
27,BLOCK16,150,6.0400000000000004e-05
28,BLOCK16,157,6.22e-05
29,BLOCK16,164,5.9999999999999995e-05
30,BLOCK16,172,7.02e-05
31,BLOCK16,180,7.04e-05
32,BLOCK16,188,5.8200000000000005e-05
33,BLOCK16,197,5.62e-05
34,BLOCK16,206,5.020000000000001e-05
35,BLOCK16,216,5e-05
36,BLOCK16,226,5.8e-05
37,BLOCK16,237,5.8200000000000005e-05
38,BLOCK16,248,6.000000000000001e-05
39,BLOCK16,260,7e-05
40,BLOCK16,272,5.8200000000000005e-05
41,BLOCK16,285,5.8e-05
42,BLOCK16,299,5.599999999999999e-05
43,BLOCK16,313,6.4e-05
44,BLOCK16,328,5.8200000000000005e-05
45,BLOCK16,344,6.8e-05
46,BLOCK16,361,9.02e-05
47,BLOCK16,379,5.8399999999999997e-05
48,BLOCK16,397,6.22e-05
49,BLOCK16,416,5.2000000000000004e-05
50,BLOCK16,436,6.6e-05
51,BLOCK16,457,5.6000000000000006e-05
52,BLOCK16,479,5.62e-05
53,BLOCK16,502,7.219999999999999e-05
54,BLOCK16,527,6.000000000000001e-05
55,BLOCK16,553,6.000000000000001e-05
56,BLOCK16,580,6.4e-05
57,BLOCK16,609,0.00011219999999999999
58,BLOCK16,639,6.4e-05
59,BLOCK16,670,7.26e-05
60,BLOCK16,703,6.42e-05
61,BLOCK16,738,6.64e-05
62,BLOCK16,774,6.620000000000001e-05
63,BLOCK16,812,8.04e-05
64,BLOCK16,852,7.219999999999999e-05
65,BLOCK16,894,8.420000000000001e-05
66,BLOCK16,938,7e-05
67,BLOCK16,984,8.02e-05
68,BLOCK16,1033,9.22e-05
69,BLOCK16,1084,7.84e-05
70,BLOCK16,1138,8.2e-05
71,BLOCK16,1194,8.420000000000001e-05
72,BLOCK16,1253,9.22e-05
73,BLOCK16,1315,9e-05
74,BLOCK16,1380,9.82e-05
75,BLOCK16,1448,9.84e-05
76,BLOCK16,1520,9.22e-05
77,BLOCK16,1596,0.000108
78,BLOCK16,1675,0.00011399999999999999
79,BLOCK16,1758,0.000106
80,BLOCK16,1845,0.00011020000000000001
81,BLOCK16,1937,0.000124
82,BLOCK16,2033,0.0001284
83,BLOCK16,2134,0.0001222
84,BLOCK16,2240,0.000134
85,BLOCK16,2351,0.0001284
86,BLOCK16,2468,0.0001364
87,BLOCK16,2591,0.0001384
88,BLOCK16,2720,0.0001406
89,BLOCK16,2856,0.0001584
90,BLOCK16,2998,0.0001742
91,BLOCK16,3147,0.0001628
92,BLOCK16,3304,0.0001626
93,BLOCK16,3469,0.000166
94,BLOCK16,3642,0.00018240000000000002
95,BLOCK16,3824,0.0001928
96,BLOCK16,4015,0.0001882
97,BLOCK16,4215,0.00019460000000000001
98,BLOCK16,4425,0.0002444
99,BLOCK16,4646,0.00021060000000000002
100,BLOCK16,4878,0.0002302
101,BLOCK16,5121,0.00023080000000000003
102,BLOCK16,5377,0.0002748
103,BLOCK16,5645,0.000261
104,BLOCK16,5927,0.0002806
105,BLOCK16,6223,0.00027079999999999997
106,BLOCK16,6534,0.0002946
107,BLOCK16,6860,0.0003228
108,BLOCK16,7202,0.0003326
109,BLOCK16,7562,0.0003346
110,BLOCK16,7940,0.00033640000000000005
111,BLOCK16,8337,0.0003688
112,BLOCK16,8753,0.00043480000000000005
113,BLOCK16,9190,0.000441
114,BLOCK16,9649,0.0004588
115,BLOCK16,10131,0.00042300000000000004
116,BLOCK16,10637,0.000499
117,BLOCK16,11168,0.000475
118,BLOCK16,11726,0.00047279999999999995
119,BLOCK16,12312,0.0004906
120,BLOCK16,12927,0.0005771999999999999
121,BLOCK16,13573,0.000549
122,BLOCK16,14251,0.0006254
123,BLOCK16,14963,0.0005989999999999999
124,BLOCK16,15711,0.000617
125,BLOCK16,16496,0.0006854
126,BLOCK16,17320,0.0007794
127,BLOCK16,18186,0.0007476
128,BLOCK16,19095,0.0007574
129,BLOCK16,20049,0.0008234
130,BLOCK16,21051,0.0008958000000000001
131,BLOCK16,22103,0.0008515999999999999
132,BLOCK16,23208,0.0009878
133,BLOCK16,24368,0.0009818000000000001
134,BLOCK16,25586,0.0011283999999999999
135,BLOCK16,26865,0.0011302
136,BLOCK16,28208,0.0011824000000000001
137,BLOCK16,29618,0.0011826
138,BLOCK16,31098,0.0011842
139,BLOCK16,32652,0.0012944
140,BLOCK16,34284,0.0012944
141,BLOCK16,35998,0.0013606
142,BLOCK16,37797,0.0015868
143,BLOCK16,39686,0.0015710000000000001
144,BLOCK16,41670,0.0017352
145,BLOCK16,43753,0.0018074
