BYTESIZE,TIME_MS
1,0.000025
2,0.000022
4,0.000019
8,0.000049
16,0.000040
32,0.000020
64,0.000031
128,0.000022
256,0.000045
512,0.000022
1024,0.000020
2048,0.000039
4096,0.000031
8192,0.000040
16384,0.000059
32768,0.000058
65536,0.000089
131072,0.000171
262144,0.000257
524288,0.000469
1048576,0.000993
2097152,0.001742
4194304,0.003382
8388608,0.006983
16777216,0.016201
33554432,0.027087
67108864,0.073161
134217728,0.127176
268435456,0.259506
536870912,0.462207
1073741824,1.046859
1,0.000017
2,0.000031
4,0.000079
8,0.000035
16,0.000017
32,0.000072
64,0.000020
128,0.000062
256,0.000029
512,0.000044
1024,0.000019
2048,0.000021
4096,0.000034
8192,0.000037
16384,0.000048
32768,0.000061
65536,0.000100
131072,0.000173
262144,0.000341
524288,0.000477
1048576,0.001045
2097152,0.001906
4194304,0.004030
8388608,0.007016
16777216,0.016921
33554432,0.032858
67108864,0.066699
134217728,0.120783
268435456,0.314200
536870912,0.388091
1073741824,0.843957
1,0.000023
2,0.000048
4,0.000019
8,0.000018
16,0.000018
32,0.000017
64,0.000013
128,0.000053
256,0.000018
512,0.000019
1024,0.000020
2048,0.000016
4096,0.000025
8192,0.000035
16384,0.000041
32768,0.000085
65536,0.000198
131072,0.000125
262144,0.000295
524288,0.000470
1048576,0.000898
2097152,0.001821
4194304,0.003434
8388608,0.006261
16777216,0.014399
33554432,0.029212
67108864,0.070180
134217728,0.133996
268435456,0.277800
536870912,0.518025
1073741824,1.042922
1,0.000063
2,0.000021
4,0.000053
8,0.000018
16,0.000018
32,0.000050
64,0.000053
128,0.000016
256,0.000022
512,0.000016
1024,0.000021
2048,0.000022
4096,0.000037
8192,0.000041
16384,0.000065
32768,0.000065
65536,0.000103
131072,0.000182
262144,0.000294
524288,0.000512
1048576,0.001028
2097152,0.002114
4194304,0.003605
8388608,0.008751
16777216,0.016061
33554432,0.031868
67108864,0.066247
134217728,0.128758
268435456,0.276689
536870912,0.475331
1073741824,1.103735
1,0.000047
2,0.000021
4,0.000023
8,0.000021
16,0.000037
32,0.000027
64,0.000028
128,0.000077
256,0.000021
512,0.000037
1024,0.000022
2048,0.000022
4096,0.000046
8192,0.000042
16384,0.000047
32768,0.000136
65536,0.000091
131072,0.000167
262144,0.000235
524288,0.000509
1048576,0.001005
2097152,0.001606
4194304,0.003022
8388608,0.006806
16777216,0.012701
33554432,0.028280
67108864,0.061118
134217728,0.124039
268435456,0.241798
536870912,0.478353
1073741824,1.222992
1,0.000020
2,0.000017
4,0.000020
8,0.000033
16,0.000019
32,0.000018
64,0.000043
128,0.000063
256,0.000024
512,0.000026
1024,0.000031
2048,0.000026
4096,0.000036
8192,0.000037
16384,0.000043
32768,0.000104
65536,0.000191
131072,0.000175
262144,0.000248
524288,0.000533
1048576,0.001041
2097152,0.001694
4194304,0.004066
8388608,0.007426
16777216,0.016110
33554432,0.026492
67108864,0.062113
134217728,0.127270
268435456,0.260403
536870912,0.544688
1073741824,1.009823
1,0.000020
2,0.000022
4,0.000029
8,0.000059
16,0.000022
32,0.000024
64,0.000026
128,0.000022
256,0.000020
512,0.000041
1024,0.000022
2048,0.000020
4096,0.000029
8192,0.000038
16384,0.000059
32768,0.000111
65536,0.000084
131072,0.000147
262144,0.000346
524288,0.000488
1048576,0.001066
2097152,0.002102
4194304,0.003833
8388608,0.007543
16777216,0.015471
33554432,0.030782
67108864,0.065500
134217728,0.158345
268435456,0.258084
536870912,0.504565
1073741824,1.117412
1,0.000046
2,0.000040
4,0.000022
8,0.000018
16,0.000018
32,0.000017
64,0.000045
128,0.000027
256,0.000065
512,0.000017
1024,0.000024
2048,0.000027
4096,0.000030
8192,0.000077
16384,0.000068
32768,0.000098
65536,0.000093
131072,0.000155
262144,0.000224
524288,0.000415
1048576,0.000941
2097152,0.001587
4194304,0.003028
8388608,0.007010
16777216,0.014876
33554432,0.025612
67108864,0.066525
134217728,0.139807
268435456,0.260077
536870912,0.548248
1073741824,1.044088
1,0.000031
2,0.000042
4,0.000069
8,0.000019
16,0.000027
32,0.000023
64,0.000018
128,0.000026
256,0.000018
512,0.000028
1024,0.000020
2048,0.000020
4096,0.000037
8192,0.000037
16384,0.000054
32768,0.000063
65536,0.000090
131072,0.000225
262144,0.000320
524288,0.000500
1048576,0.001049
2097152,0.002055
4194304,0.003797
8388608,0.006763
16777216,0.015005
33554432,0.031568
67108864,0.074833
134217728,0.157502
268435456,0.254007
536870912,0.382146
1073741824,1.112965
1,0.000072
2,0.000027
4,0.000037
8,0.000024
16,0.000015
32,0.000043
64,0.000020
128,0.000023
256,0.000032
512,0.000021
1024,0.000025
2048,0.000021
4096,0.000029
8192,0.000040
16384,0.000068
32768,0.000061
65536,0.000085
131072,0.000195
262144,0.000272
524288,0.000472
1048576,0.000835
2097152,0.001671
4194304,0.003438
8388608,0.006649
16777216,0.013092
33554432,0.028009
67108864,0.061493
134217728,0.124214
268435456,0.292040
536870912,0.476921
1073741824,0.964916
1,0.000047
2,0.000021
4,0.000016
8,0.000021
16,0.000022
32,0.000017
64,0.000020
128,0.000017
256,0.000021
512,0.000039
1024,0.000028
2048,0.000019
4096,0.000036
8192,0.000042
16384,0.000081
32768,0.000061
65536,0.000105
131072,0.000134
262144,0.000277
524288,0.000458
1048576,0.000973
2097152,0.001788
4194304,0.003176
8388608,0.006797
16777216,0.015983
33554432,0.026877
67108864,0.065092
134217728,0.132258
268435456,0.201206
536870912,0.634316
1073741824,0.933072
1,0.000023
2,0.000040
4,0.000028
8,0.000020
16,0.000022
32,0.000035
64,0.000023
128,0.000019
256,0.000021
512,0.000032
1024,0.000073
2048,0.000021
4096,0.000053
8192,0.000041
16384,0.000080
32768,0.000059
65536,0.000099
131072,0.000176
262144,0.000278
524288,0.000534
1048576,0.000930
2097152,0.002268
4194304,0.003399
8388608,0.008166
16777216,0.014453
33554432,0.033489
67108864,0.075730
134217728,0.128738
268435456,0.216351
536870912,0.398460
1073741824,1.011405
1,0.000060
2,0.000085
4,0.000021
8,0.000018
16,0.000019
32,0.000032
64,0.000029
128,0.000024
256,0.000022
512,0.000021
1024,0.000019
2048,0.000032
4096,0.000056
8192,0.000052
16384,0.000047
32768,0.000085
65536,0.000086
131072,0.000174
262144,0.000307
524288,0.000570
1048576,0.001012
2097152,0.001763
4194304,0.003837
8388608,0.007743
16777216,0.013891
33554432,0.030925
67108864,0.066445
134217728,0.128814
268435456,0.271290
536870912,0.591057
1073741824,1.225276
1,0.000024
2,0.000020
4,0.000028
8,0.000022
16,0.000016
32,0.000049
64,0.000025
128,0.000029
256,0.000020
512,0.000019
1024,0.000025
2048,0.000020
4096,0.000030
8192,0.000057
16384,0.000056
32768,0.000179
65536,0.000108
131072,0.000174
262144,0.000283
524288,0.000467
1048576,0.001104
2097152,0.001755
4194304,0.003246
8388608,0.007675
16777216,0.013514
33554432,0.030387
67108864,0.065684
134217728,0.116628
268435456,0.294385
536870912,0.437488
1073741824,0.813039
1,0.000019
2,0.000020
4,0.000025
8,0.000019
16,0.000014
32,0.000030
64,0.000036
