MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
BLOCKING,2,5000,100,0.000412
INSTANT_WAIT,2,5000,100,0.000387
INSTANT_TEST,2,5000,100,0.000449
BLOCKING,3,5000,100,0.000397
INSTANT_WAIT,3,5000,100,0.000332
INSTANT_TEST,3,5000,100,0.000452
BLOCKING,4,5000,100,0.000263
INSTANT_WAIT,4,5000,100,0.000312
INSTANT_TEST,4,5000,100,0.000418
BLOCKING,5,5000,100,0.000209
INSTANT_WAIT,5,5000,100,0.000217
INSTANT_TEST,5,5000,100,0.000392
BLOCKING,6,5000,100,0.000231
INSTANT_WAIT,6,5000,100,0.000465
INSTANT_TEST,6,5000,100,0.000693
BLOCKING,2,5000,100,0.000410
INSTANT_WAIT,2,5000,100,0.000519
INSTANT_TEST,2,5000,100,0.000454
BLOCKING,3,5000,100,0.000315
INSTANT_WAIT,3,5000,100,0.000284
INSTANT_TEST,3,5000,100,0.000436
BLOCKING,4,5000,100,0.000335
INSTANT_WAIT,4,5000,100,0.000317
INSTANT_TEST,4,5000,100,0.000458
BLOCKING,5,5000,100,0.000254
INSTANT_WAIT,5,5000,100,0.000263
INSTANT_TEST,5,5000,100,0.000395
BLOCKING,6,5000,100,0.000331
INSTANT_WAIT,6,5000,100,0.000217
INSTANT_TEST,6,5000,100,0.000347
BLOCKING,2,5000,100,0.000406
INSTANT_WAIT,2,5000,100,0.000460
INSTANT_TEST,2,5000,100,0.000433
BLOCKING,3,5000,100,0.000312
INSTANT_WAIT,3,5000,100,0.000407
INSTANT_TEST,3,5000,100,0.000433
BLOCKING,4,5000,100,0.000369
INSTANT_WAIT,4,5000,100,0.000259
INSTANT_TEST,4,5000,100,0.000380
BLOCKING,5,5000,100,0.000331
INSTANT_WAIT,5,5000,100,0.000217
INSTANT_TEST,5,5000,100,0.000301
BLOCKING,6,5000,100,0.000302
INSTANT_WAIT,6,5000,100,0.000227
INSTANT_TEST,6,5000,100,0.000320
BLOCKING,2,5000,100,0.000411
INSTANT_WAIT,2,5000,100,0.000389
INSTANT_TEST,2,5000,100,0.000435
BLOCKING,3,5000,100,0.000297
INSTANT_WAIT,3,5000,100,0.000320
INSTANT_TEST,3,5000,100,0.000444
BLOCKING,4,5000,100,0.000335
INSTANT_WAIT,4,5000,100,0.000310
INSTANT_TEST,4,5000,100,0.000320
BLOCKING,5,5000,100,0.000205
INSTANT_WAIT,5,5000,100,0.000204
INSTANT_TEST,5,5000,100,0.000316
BLOCKING,6,5000,100,0.000182
INSTANT_WAIT,6,5000,100,0.000265
INSTANT_TEST,6,5000,100,0.000332
BLOCKING,2,5000,100,0.000424
INSTANT_WAIT,2,5000,100,0.000398
INSTANT_TEST,2,5000,100,0.000424
BLOCKING,3,5000,100,0.000291
INSTANT_WAIT,3,5000,100,0.000291
INSTANT_TEST,3,5000,100,0.000410
BLOCKING,4,5000,100,0.000275
