MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
BLOCKING,2,500,100,0.000067
INSTANT_WAIT,2,500,100,0.000063
INSTANT_TEST,2,500,100,0.000094
BLOCKING,3,500,100,0.000086
INSTANT_WAIT,3,500,100,0.000083
INSTANT_TEST,3,500,100,0.000167
BLOCKING,4,500,100,0.000142
INSTANT_WAIT,4,500,100,0.000066
INSTANT_TEST,4,500,100,0.000180
BLOCKING,5,500,100,0.000090
INSTANT_WAIT,5,500,100,0.000128
INSTANT_TEST,5,500,100,0.000210
BLOCKING,6,500,100,0.000092
INSTANT_WAIT,6,500,100,0.000118
INSTANT_TEST,6,500,100,0.000305
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000064
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000074
INSTANT_WAIT,3,500,100,0.000081
INSTANT_TEST,3,500,100,0.000186
BLOCKING,4,500,100,0.000088
INSTANT_WAIT,4,500,100,0.000075
INSTANT_TEST,4,500,100,0.000164
BLOCKING,5,500,100,0.000108
INSTANT_WAIT,5,500,100,0.000133
INSTANT_TEST,5,500,100,0.000287
BLOCKING,6,500,100,0.000120
INSTANT_WAIT,6,500,100,0.000101
INSTANT_TEST,6,500,100,0.000219
BLOCKING,2,500,100,0.000072
INSTANT_WAIT,2,500,100,0.000060
INSTANT_TEST,2,500,100,0.000093
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000077
INSTANT_TEST,3,500,100,0.000222
BLOCKING,4,500,100,0.000123
INSTANT_WAIT,4,500,100,0.000183
INSTANT_TEST,4,500,100,0.000153
BLOCKING,5,500,100,0.000159
INSTANT_WAIT,5,500,100,0.000072
INSTANT_TEST,5,500,100,0.000317
BLOCKING,6,500,100,0.000089
INSTANT_WAIT,6,500,100,0.000076
INSTANT_TEST,6,500,100,0.000278
BLOCKING,2,500,100,0.000069
INSTANT_WAIT,2,500,100,0.000059
INSTANT_TEST,2,500,100,0.000092
BLOCKING,3,500,100,0.000100
INSTANT_WAIT,3,500,100,0.000075
INSTANT_TEST,3,500,100,0.000186
BLOCKING,4,500,100,0.000100
INSTANT_WAIT,4,500,100,0.000063
INSTANT_TEST,4,500,100,0.000169
BLOCKING,5,500,100,0.000095
INSTANT_WAIT,5,500,100,0.000073
INSTANT_TEST,5,500,100,0.000193
BLOCKING,6,500,100,0.000084
INSTANT_WAIT,6,500,100,0.000183
INSTANT_TEST,6,500,100,0.000301
BLOCKING,2,500,100,0.000065
INSTANT_WAIT,2,500,100,0.000053
INSTANT_TEST,2,500,100,0.000143
BLOCKING,3,500,100,0.000085
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000172
BLOCKING,4,500,100,0.000108
INSTANT_WAIT,4,500,100,0.000117
INSTANT_TEST,4,500,100,0.000220
BLOCKING,5,500,100,0.000111
INSTANT_WAIT,5,500,100,0.000073
INSTANT_TEST,5,500,100,0.000258
BLOCKING,6,500,100,0.000118
INSTANT_WAIT,6,500,100,0.000186
INSTANT_TEST,6,500,100,0.000249
BLOCKING,2,500,100,0.000072
INSTANT_WAIT,2,500,100,0.000056
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000234
BLOCKING,4,500,100,0.000090
INSTANT_WAIT,4,500,100,0.000101
INSTANT_TEST,4,500,100,0.000229
BLOCKING,5,500,100,0.000158
INSTANT_WAIT,5,500,100,0.000117
INSTANT_TEST,5,500,100,0.000305
BLOCKING,6,500,100,0.000169
INSTANT_WAIT,6,500,100,0.000072
INSTANT_TEST,6,500,100,0.000266
BLOCKING,2,500,100,0.000069
INSTANT_WAIT,2,500,100,0.000058
INSTANT_TEST,2,500,100,0.000097
BLOCKING,3,500,100,0.000161
INSTANT_WAIT,3,500,100,0.000122
INSTANT_TEST,3,500,100,0.000176
BLOCKING,4,500,100,0.000142
INSTANT_WAIT,4,500,100,0.000081
INSTANT_TEST,4,500,100,0.000158
BLOCKING,5,500,100,0.000087
INSTANT_WAIT,5,500,100,0.000112
INSTANT_TEST,5,500,100,0.000272
BLOCKING,6,500,100,0.000071
INSTANT_WAIT,6,500,100,0.000077
INSTANT_TEST,6,500,100,0.000273
BLOCKING,2,500,100,0.000075
