PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
2,50,50,0.000026
3,50,50,0.000072
4,50,50,0.000110
5,50,50,0.000078
6,50,50,0.000059
2,134,134,0.000048
3,134,134,0.000061
4,134,134,0.000161
5,134,134,0.000068
6,134,134,0.000145
2,240,240,0.000094
3,240,240,0.000100
4,240,240,0.000108
5,240,240,0.000156
6,240,240,0.000134
2,359,359,0.000177
3,359,359,0.000175
4,359,359,0.000154
5,359,359,0.000166
6,359,359,0.000181
2,486,486,0.000328
3,486,486,0.000292
4,486,486,0.000269
5,486,486,0.000241
6,486,486,0.000293
2,620,620,0.000501
3,620,620,0.000459
4,620,620,0.000466
5,620,620,0.000345
6,620,620,0.000364
2,759,759,0.000682
3,759,759,0.000697
4,759,759,0.000463
5,759,759,0.000468
6,759,759,0.000426
2,903,903,0.000924
3,903,903,0.000710
4,903,903,0.000776
5,903,903,0.000605
6,903,903,0.000583
2,1050,1050,0.001344
3,1050,1050,0.000966
4,1050,1050,0.000979
5,1050,1050,0.001119
6,1050,1050,0.000678
2,1201,1201,0.001558
3,1201,1201,0.001256
4,1201,1201,0.001067
5,1201,1201,0.001388
6,1201,1201,0.001155
2,1354,1354,0.002027
3,1354,1354,0.001688
4,1354,1354,0.001446
5,1354,1354,0.001200
6,1354,1354,0.001446
2,1510,1510,0.003044
3,1510,1510,0.001910
4,1510,1510,0.001644
5,1510,1510,0.002041
6,1510,1510,0.004595
2,1668,1668,0.002990
3,1668,1668,0.002456
4,1668,1668,0.002005
5,1668,1668,0.002508
6,1668,1668,0.002401
2,1829,1829,0.003584
3,1829,1829,0.002791
4,1829,1829,0.002543
5,1829,1829,0.003150
6,1829,1829,0.002820
2,1992,1992,0.005008
3,1992,1992,0.003359
4,1992,1992,0.004277
5,1992,1992,0.002569
6,1992,1992,0.003152
2,2156,2156,0.005074
3,2156,2156,0.003869
4,2156,2156,0.003451
5,2156,2156,0.002964
6,2156,2156,0.003789
2,2322,2322,0.005924
3,2322,2322,0.004574
4,2322,2322,0.005489
5,2322,2322,0.003363
6,2322,2322,0.004210
2,2490,2490,0.006553
3,2490,2490,0.006788
4,2490,2490,0.005613
5,2490,2490,0.004364
6,2490,2490,0.005021
2,2659,2659,0.007546
3,2659,2659,0.006981
4,2659,2659,0.006336
5,2659,2659,0.006283
6,2659,2659,0.005544
2,2830,2830,0.008874
3,2830,2830,0.006405
4,2830,2830,0.005705
5,2830,2830,0.005863
6,2830,2830,0.006175
2,3002,3002,0.010825
3,3002,3002,0.008944
4,3002,3002,0.009133
5,3002,3002,0.008067
6,3002,3002,0.007128
2,3175,3175,0.014162
3,3175,3175,0.010860
4,3175,3175,0.007552
5,3175,3175,0.007466
6,3175,3175,0.007744
2,3350,3350,0.010351
3,3350,3350,0.008573
4,3350,3350,0.011184
5,3350,3350,0.007269
6,3350,3350,0.009018
2,3526,3526,0.014181
3,3526,3526,0.009804
4,3526,3526,0.012318
5,3526,3526,0.011928
6,3526,3526,0.009793
2,3703,3703,0.014285
3,3703,3703,0.010560
4,3703,3703,0.013481
5,3703,3703,0.012195
6,3703,3703,0.009640
2,3881,3881,0.015932
3,3881,3881,0.011552
4,3881,3881,0.011605
5,3881,3881,0.012730
6,3881,3881,0.011848
2,4060,4060,0.018655
3,4060,4060,0.012891
4,4060,4060,0.010925
5,4060,4060,0.014430
6,4060,4060,0.012664
2,4240,4240,0.018980
3,4240,4240,0.015766
4,4240,4240,0.017121
5,4240,4240,0.014483
6,4240,4240,0.013930
2,4421,4421,0.021356
3,4421,4421,0.015827
4,4421,4421,0.021507
5,4421,4421,0.013308
6,4421,4421,0.016489
2,4603,4603,0.030331
3,4603,4603,0.017023
4,4603,4603,0.019074
5,4603,4603,0.019240
6,4603,4603,0.016147
2,4786,4786,0.024070
3,4786,4786,0.018885
4,4786,4786,0.016836
5,4786,4786,0.015437
6,4786,4786,0.018221
2,4969,4969,0.026686
3,4969,4969,0.019450
4,4969,4969,0.019851
5,4969,4969,0.018689
6,4969,4969,0.017039
2,5153,5153,0.032931
3,5153,5153,0.018939
4,5153,5153,0.017139
5,5153,5153,0.021172
6,5153,5153,0.020046
2,5338,5338,0.028162
3,5338,5338,0.027020
4,5338,5338,0.020543
5,5338,5338,0.015783
6,5338,5338,0.018057
2,5524,5524,0.042065
3,5524,5524,0.022099
4,5524,5524,0.027738
5,5524,5524,0.023575
6,5524,5524,0.019658
2,5711,5711,0.034134
3,5711,5711,0.029925
4,5711,5711,0.020879
5,5711,5711,0.030585
6,5711,5711,0.023169
2,5898,5898,0.035660
3,5898,5898,0.028702
4,5898,5898,0.025901
5,5898,5898,0.024037
6,5898,5898,0.027351
2,6086,6086,0.043670
3,6086,6086,0.027042
4,6086,6086,0.025102
5,6086,6086,0.025480
6,6086,6086,0.024457
2,6275,6275,0.049823
3,6275,6275,0.033603
4,6275,6275,0.027979
5,6275,6275,0.025233
6,6275,6275,0.022033
2,6464,6464,0.043826
3,6464,6464,0.043851
4,6464,6464,0.028668
5,6464,6464,0.029568
6,6464,6464,0.026066
2,6654,6654,0.046948
3,6654,6654,0.042560
4,6654,6654,0.031205
5,6654,6654,0.026924
6,6654,6654,0.028637
2,6845,6845,0.043209
3,6845,6845,0.037531
4,6845,6845,0.033298
5,6845,6845,0.027162
6,6845,6845,0.027254
2,7036,7036,0.054107
3,7036,7036,0.040684
4,7036,7036,0.031855
5,7036,7036,0.028681
6,7036,7036,0.028803
2,7228,7228,0.058595
3,7228,7228,0.039322
4,7228,7228,0.042448
5,7228,7228,0.031082
6,7228,7228,0.029037
2,7420,7420,0.053249
3,7420,7420,0.038933
4,7420,7420,0.030270
5,7420,7420,0.034111
6,7420,7420,0.032865
2,7613,7613,0.055581
3,7613,7613,0.059947
4,7613,7613,0.044500
5,7613,7613,0.039963
6,7613,7613,0.032541
2,7807,7807,0.059778
3,7807,7807,0.067696
4,7807,7807,0.036951
5,7807,7807,0.039348
6,7807,7807,0.038991
2,8001,8001,0.060050
3,8001,8001,0.070387
4,8001,8001,0.038878
5,8001,8001,0.041202
6,8001,8001,0.038706
2,8196,8196,0.067769
3,8196,8196,0.063543
4,8196,8196,0.046776
5,8196,8196,0.043398
6,8196,8196,0.039334
2,8391,8391,0.074562
3,8391,8391,0.074247
4,8391,8391,0.047561
5,8391,8391,0.044090
6,8391,8391,0.044827
2,8587,8587,0.073788
3,8587,8587,0.073973
4,8587,8587,0.050244
5,8587,8587,0.050176
6,8587,8587,0.043089
2,8783,8783,0.090988
3,8783,8783,0.089756
4,8783,8783,0.054681
5,8783,8783,0.044704
6,8783,8783,0.043083
2,8980,8980,0.089277
3,8980,8980,0.087173
4,8980,8980,0.055767
5,8980,8980,0.046713
6,8980,8980,0.052082
2,9177,9177,0.082639
3,9177,9177,0.080387
4,9177,9177,0.056335
