MODE,VEC_SIZE,TIME_MS
VEC_INIT,10,0.000080
SINGLE,10,0.000040
VEC_INIT,10,0.000080
SINGLE,10,0.000040
VEC_INIT,10,0.000090
SINGLE,10,0.000040
VEC_INIT,10,0.000080
SINGLE,10,0.000040
VEC_INIT,10,0.000080
SINGLE,10,0.000040
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000080
BLOCK2,10,0.000041
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000091
BLOCK2,10,0.000050
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000080
BLOCK4,10,0.000030
VEC_INIT,10,0.000090
BLOCK4,10,0.000030
VEC_INIT,10,0.000080
BLOCK4,10,0.000030
VEC_INIT,10,0.000080
BLOCK4,10,0.000031
VEC_INIT,10,0.000080
BLOCK4,10,0.000030
VEC_INIT,10,0.000090
BLOCK8,10,0.000020
VEC_INIT,10,0.000080
BLOCK8,10,0.000030
VEC_INIT,10,0.000090
BLOCK8,10,0.000040
VEC_INIT,10,0.000090
BLOCK8,10,0.000030
VEC_INIT,10,0.000080
BLOCK8,10,0.000030
VEC_INIT,10,0.000080
BLOCK16,10,0.000050
VEC_INIT,10,0.000110
BLOCK16,10,0.000050
VEC_INIT,10,0.000100
BLOCK16,10,0.000060
VEC_INIT,10,0.000080
BLOCK16,10,0.000050
VEC_INIT,10,0.000080
BLOCK16,10,0.000050
VEC_INIT,15,0.000080
SINGLE,15,0.000041
VEC_INIT,15,0.000080
SINGLE,15,0.000040
VEC_INIT,15,0.000080
SINGLE,15,0.000040
VEC_INIT,15,0.000070
SINGLE,15,0.000040
VEC_INIT,15,0.000081
SINGLE,15,0.000040
VEC_INIT,15,0.000080
BLOCK2,15,0.000040
VEC_INIT,15,0.000080
BLOCK2,15,0.000040
VEC_INIT,15,0.000080
BLOCK2,15,0.000040
VEC_INIT,15,0.000090
BLOCK2,15,0.000040
VEC_INIT,15,0.000080
BLOCK2,15,0.000040
VEC_INIT,15,0.000091
BLOCK4,15,0.000040
VEC_INIT,15,0.000080
BLOCK4,15,0.000040
VEC_INIT,15,0.000080
BLOCK4,15,0.000031
VEC_INIT,15,0.000090
BLOCK4,15,0.000040
VEC_INIT,15,0.000080
BLOCK4,15,0.000030
VEC_INIT,15,0.000100
BLOCK8,15,0.000050
VEC_INIT,15,0.000080
BLOCK8,15,0.000050
VEC_INIT,15,0.000091
BLOCK8,15,0.000040
VEC_INIT,15,0.000070
BLOCK8,15,0.000040
VEC_INIT,15,0.000081
BLOCK8,15,0.000040
VEC_INIT,15,0.000080
BLOCK16,15,0.000050
VEC_INIT,15,0.000080
BLOCK16,15,0.000050
VEC_INIT,15,0.000090
BLOCK16,15,0.000050
VEC_INIT,15,0.000080
BLOCK16,15,0.000060
VEC_INIT,15,0.000090
BLOCK16,15,0.000051
VEC_INIT,20,0.000090
SINGLE,20,0.000040
VEC_INIT,20,0.000090
SINGLE,20,0.000040
VEC_INIT,20,0.000080
SINGLE,20,0.000040
VEC_INIT,20,0.000090
SINGLE,20,0.000040
VEC_INIT,20,0.000090
SINGLE,20,0.000040
VEC_INIT,20,0.000080
BLOCK2,20,0.000050
VEC_INIT,20,0.000090
BLOCK2,20,0.000040
VEC_INIT,20,0.000091
BLOCK2,20,0.000050
VEC_INIT,20,0.000100
BLOCK2,20,0.000060
VEC_INIT,20,0.000090
BLOCK2,20,0.000041
VEC_INIT,20,0.000091
BLOCK4,20,0.000040
VEC_INIT,20,0.000090
BLOCK4,20,0.000040
VEC_INIT,20,0.000090
BLOCK4,20,0.000040
VEC_INIT,20,0.000090
BLOCK4,20,0.000040
VEC_INIT,20,0.000080
BLOCK4,20,0.000040
VEC_INIT,20,0.000080
BLOCK8,20,0.000040
VEC_INIT,20,0.000080
BLOCK8,20,0.000040
VEC_INIT,20,0.000080
BLOCK8,20,0.000040
VEC_INIT,20,0.000090
BLOCK8,20,0.000040
VEC_INIT,20,0.000080
BLOCK8,20,0.000040
VEC_INIT,20,0.000090
BLOCK16,20,0.000030
VEC_INIT,20,0.000100
BLOCK16,20,0.000040
VEC_INIT,20,0.000080
BLOCK16,20,0.000030
VEC_INIT,20,0.000080
BLOCK16,20,0.000030
VEC_INIT,20,0.000080
BLOCK16,20,0.000040
VEC_INIT,25,0.000080
SINGLE,25,0.000040
VEC_INIT,25,0.000090
SINGLE,25,0.000050
VEC_INIT,25,0.000090
SINGLE,25,0.000040
VEC_INIT,25,0.000090
SINGLE,25,0.000040
VEC_INIT,25,0.000090
SINGLE,25,0.000041
VEC_INIT,25,0.000090
BLOCK2,25,0.000050
VEC_INIT,25,0.000091
BLOCK2,25,0.000040
VEC_INIT,25,0.000090
BLOCK2,25,0.000041
VEC_INIT,25,0.000090
BLOCK2,25,0.000040
VEC_INIT,25,0.000080
BLOCK2,25,0.000040
VEC_INIT,25,0.000080
BLOCK4,25,0.000040
VEC_INIT,25,0.000080
BLOCK4,25,0.000040
VEC_INIT,25,0.000080
BLOCK4,25,0.000040
VEC_INIT,25,0.000090
BLOCK4,25,0.000040
VEC_INIT,25,0.000090
BLOCK4,25,0.000040
VEC_INIT,25,0.000091
BLOCK8,25,0.000030
VEC_INIT,25,0.000090
BLOCK8,25,0.000031
VEC_INIT,25,0.000100
BLOCK8,25,0.000030
VEC_INIT,25,0.000081
BLOCK8,25,0.000040
VEC_INIT,25,0.000090
BLOCK8,25,0.000030
VEC_INIT,25,0.000090
BLOCK16,25,0.000041
VEC_INIT,25,0.000090
BLOCK16,25,0.000050
VEC_INIT,25,0.000091
BLOCK16,25,0.000040
VEC_INIT,25,0.000090
BLOCK16,25,0.000040
VEC_INIT,25,0.000090
BLOCK16,25,0.000040
VEC_INIT,30,0.000090
SINGLE,30,0.000040
VEC_INIT,30,0.000110
SINGLE,30,0.000051
VEC_INIT,30,0.000080
SINGLE,30,0.000050
VEC_INIT,30,0.000090
SINGLE,30,0.000050
VEC_INIT,30,0.000090
SINGLE,30,0.000040
VEC_INIT,30,0.000090
BLOCK2,30,0.000050
VEC_INIT,30,0.000090
BLOCK2,30,0.000040
VEC_INIT,30,0.000091
BLOCK2,30,0.000050
VEC_INIT,30,0.000090
BLOCK2,30,0.000050
VEC_INIT,30,0.000090
BLOCK2,30,0.000040
VEC_INIT,30,0.000091
BLOCK4,30,0.000050
VEC_INIT,30,0.000090
BLOCK4,30,0.000040
