MODE,VEC_SIZE,TIME_MS
VEC_INIT,10,0.000080
SINGLE,10,0.000040
VEC_INIT,10,0.000080
SINGLE,10,0.000030
VEC_INIT,10,0.000140
SINGLE,10,0.000030
VEC_INIT,10,0.000070
SINGLE,10,0.000030
VEC_INIT,10,0.000070
SINGLE,10,0.000020
VEC_INIT,10,0.000070
BLOCK2,10,0.000041
VEC_INIT,10,0.000080
BLOCK2,10,0.000050
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000080
BLOCK2,10,0.000041
VEC_INIT,10,0.000081
BLOCK4,10,0.000140
VEC_INIT,10,0.000080
BLOCK4,10,0.000051
VEC_INIT,10,0.000080
BLOCK4,10,0.000060
VEC_INIT,10,0.000080
BLOCK4,10,0.000060
VEC_INIT,10,0.000080
BLOCK4,10,0.000060
VEC_INIT,10,0.000080
BLOCK8,10,0.000250
VEC_INIT,10,0.000070
BLOCK8,10,0.000080
VEC_INIT,10,0.000070
BLOCK8,10,0.000070
VEC_INIT,10,0.000080
BLOCK8,10,0.000071
VEC_INIT,10,0.000070
BLOCK8,10,0.000080
VEC_INIT,10,0.000080
BLOCK16,10,0.000040
VEC_INIT,10,0.000130
BLOCK16,10,0.000050
VEC_INIT,10,0.000080
BLOCK16,10,0.000040
VEC_INIT,10,0.000081
BLOCK16,10,0.000040
VEC_INIT,10,0.000080
BLOCK16,10,0.000040
VEC_INIT,15,0.000070
SINGLE,15,0.000090
VEC_INIT,15,0.000090
SINGLE,15,0.000040
VEC_INIT,15,0.000090
SINGLE,15,0.000050
VEC_INIT,15,0.000071
SINGLE,15,0.000030
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000090
BLOCK2,15,0.000301
VEC_INIT,15,0.000080
BLOCK2,15,0.000030
VEC_INIT,15,0.000070
BLOCK2,15,0.000040
VEC_INIT,15,0.000080
BLOCK2,15,0.000030
VEC_INIT,15,0.000070
BLOCK2,15,0.000030
VEC_INIT,15,0.000060
BLOCK4,15,0.000141
VEC_INIT,15,0.000070
BLOCK4,15,0.000060
VEC_INIT,15,0.000070
BLOCK4,15,0.000060
VEC_INIT,15,0.000070
BLOCK4,15,0.000050
VEC_INIT,15,0.000070
BLOCK4,15,0.000050
VEC_INIT,15,0.000070
BLOCK8,15,0.000410
VEC_INIT,15,0.000061
BLOCK8,15,0.000060
VEC_INIT,15,0.000070
BLOCK8,15,0.000070
VEC_INIT,15,0.000060
BLOCK8,15,0.000061
VEC_INIT,15,0.000070
BLOCK8,15,0.000060
VEC_INIT,15,0.000070
BLOCK16,15,0.000040
VEC_INIT,15,0.000070
BLOCK16,15,0.000040
VEC_INIT,15,0.000070
BLOCK16,15,0.000040
VEC_INIT,15,0.000071
BLOCK16,15,0.000040
VEC_INIT,15,0.000090
BLOCK16,15,0.000060
VEC_INIT,20,0.000071
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000060
SINGLE,20,0.000030
VEC_INIT,20,0.000070
BLOCK2,20,0.000211
VEC_INIT,20,0.000080
BLOCK2,20,0.000040
VEC_INIT,20,0.000091
BLOCK2,20,0.000050
VEC_INIT,20,0.000070
BLOCK2,20,0.000040
VEC_INIT,20,0.000071
BLOCK2,20,0.000040
VEC_INIT,20,0.000070
BLOCK4,20,0.000130
VEC_INIT,20,0.000070
BLOCK4,20,0.000050
VEC_INIT,20,0.000070
BLOCK4,20,0.000050
VEC_INIT,20,0.000070
BLOCK4,20,0.000060
VEC_INIT,20,0.000071
BLOCK4,20,0.000050
VEC_INIT,20,0.000070
BLOCK8,20,0.000471
VEC_INIT,20,0.000070
BLOCK8,20,0.000070
VEC_INIT,20,0.000070
BLOCK8,20,0.000070
VEC_INIT,20,0.000071
BLOCK8,20,0.000070
VEC_INIT,20,0.000070
BLOCK8,20,0.000060
VEC_INIT,20,0.000080
BLOCK16,20,0.000030
VEC_INIT,20,0.000060
BLOCK16,20,0.000041
VEC_INIT,20,0.000070
BLOCK16,20,0.000030
VEC_INIT,20,0.000081
BLOCK16,20,0.000050
VEC_INIT,20,0.000090
BLOCK16,20,0.000050
VEC_INIT,25,0.000060
SINGLE,25,0.000030
VEC_INIT,25,0.000060
SINGLE,25,0.000030
VEC_INIT,25,0.000070
SINGLE,25,0.000020
VEC_INIT,25,0.000060
SINGLE,25,0.000020
VEC_INIT,25,0.000080
SINGLE,25,0.000030
VEC_INIT,25,0.000080
BLOCK2,25,0.000360
VEC_INIT,25,0.000071
BLOCK2,25,0.000030
VEC_INIT,25,0.000070
BLOCK2,25,0.000030
VEC_INIT,25,0.000060
BLOCK2,25,0.000030
VEC_INIT,25,0.000060
BLOCK2,25,0.000030
VEC_INIT,25,0.000070
BLOCK4,25,0.000300
VEC_INIT,25,0.000060
BLOCK4,25,0.000060
VEC_INIT,25,0.000060
BLOCK4,25,0.000080
VEC_INIT,25,0.000060
BLOCK4,25,0.000071
VEC_INIT,25,0.000060
BLOCK4,25,0.000060
VEC_INIT,25,0.000060
BLOCK8,25,0.000231
VEC_INIT,25,0.000070
BLOCK8,25,0.000060
VEC_INIT,25,0.000060
BLOCK8,25,0.000080
VEC_INIT,25,0.000060
BLOCK8,25,0.000060
VEC_INIT,25,0.000070
BLOCK8,25,0.000070
VEC_INIT,25,0.000060
BLOCK16,25,0.000030
VEC_INIT,25,0.000061
BLOCK16,25,0.000030
VEC_INIT,25,0.000060
BLOCK16,25,0.000030
VEC_INIT,25,0.000060
BLOCK16,25,0.000030
VEC_INIT,25,0.000060
BLOCK16,25,0.000040
VEC_INIT,30,0.000070
SINGLE,30,0.000201
VEC_INIT,30,0.000060
SINGLE,30,0.000030
VEC_INIT,30,0.000060
SINGLE,30,0.000030
VEC_INIT,30,0.000060
SINGLE,30,0.000030
VEC_INIT,30,0.000060
SINGLE,30,0.000030
VEC_INIT,30,0.000070
BLOCK2,30,0.000211
VEC_INIT,30,0.000070
BLOCK2,30,0.000061
VEC_INIT,30,0.000090
BLOCK2,30,0.000050
VEC_INIT,30,0.000060
BLOCK2,30,0.000040
VEC_INIT,30,0.000070
BLOCK2,30,0.000040
VEC_INIT,30,0.000070
BLOCK4,30,0.000130
VEC_INIT,30,0.000070
BLOCK4,30,0.000050
