,MODE,VEC_SIZE,TIME_MS
0,BLOCK16,10,3.6e-05
1,BLOCK16,15,4e-05
2,BLOCK16,20,3.6e-05
3,BLOCK16,25,3.24e-05
4,BLOCK16,30,3.4e-05
5,BLOCK16,35,4.2000000000000004e-05
6,BLOCK16,40,3.2200000000000003e-05
7,BLOCK16,45,4.2000000000000004e-05
8,BLOCK16,50,5e-05
9,BLOCK16,55,4.8e-05
10,BLOCK16,60,5e-05
11,BLOCK16,65,5e-05
12,BLOCK16,70,4.8e-05
13,BLOCK16,75,5.020000000000001e-05
14,BLOCK16,80,4.2000000000000004e-05
15,BLOCK16,85,5.020000000000001e-05
16,BLOCK16,90,4.4e-05
17,BLOCK16,95,5e-05
18,BLOCK16,100,4.8e-05
19,BLOCK16,105,4.6e-05
20,BLOCK16,110,5.22e-05
21,BLOCK16,115,5.64e-05
22,BLOCK16,120,5.2000000000000004e-05
23,BLOCK16,125,4.62e-05
24,BLOCK16,131,5.8e-05
25,BLOCK16,137,4.62e-05
26,BLOCK16,143,4.6e-05
27,BLOCK16,150,5.8e-05
28,BLOCK16,157,4.8e-05
29,BLOCK16,164,5.4e-05
30,BLOCK16,172,5.22e-05
31,BLOCK16,180,6.000000000000001e-05
32,BLOCK16,188,5.44e-05
33,BLOCK16,197,5.44e-05
34,BLOCK16,206,5e-05
35,BLOCK16,216,5e-05
36,BLOCK16,226,5.22e-05
37,BLOCK16,237,6.000000000000001e-05
38,BLOCK16,248,5.2000000000000004e-05
39,BLOCK16,260,5.62e-05
40,BLOCK16,272,4.4e-05
41,BLOCK16,285,5e-05
42,BLOCK16,299,5.819999999999999e-05
43,BLOCK16,313,5.22e-05
44,BLOCK16,328,5.599999999999999e-05
45,BLOCK16,344,5.2000000000000004e-05
46,BLOCK16,361,5.2000000000000004e-05
47,BLOCK16,379,5.64e-05
48,BLOCK16,397,5.62e-05
49,BLOCK16,416,5.2000000000000004e-05
50,BLOCK16,436,6.24e-05
51,BLOCK16,457,5.2000000000000004e-05
52,BLOCK16,479,6.4e-05
53,BLOCK16,502,6.6e-05
54,BLOCK16,527,6.4e-05
55,BLOCK16,553,6.24e-05
56,BLOCK16,580,6.22e-05
57,BLOCK16,609,6.6e-05
58,BLOCK16,639,6.2e-05
59,BLOCK16,670,6.4e-05
60,BLOCK16,703,6.620000000000001e-05
61,BLOCK16,738,6.64e-05
62,BLOCK16,774,6.400000000000001e-05
63,BLOCK16,812,7e-05
64,BLOCK16,852,6.840000000000001e-05
65,BLOCK16,894,6.6e-05
66,BLOCK16,938,7.219999999999999e-05
67,BLOCK16,984,6.24e-05
68,BLOCK16,1033,7.42e-05
69,BLOCK16,1084,7.199999999999999e-05
70,BLOCK16,1138,9.02e-05
71,BLOCK16,1194,8e-05
72,BLOCK16,1253,8.22e-05
73,BLOCK16,1315,9.22e-05
74,BLOCK16,1380,8.020000000000001e-05
75,BLOCK16,1448,8.6e-05
76,BLOCK16,1520,8.020000000000001e-05
77,BLOCK16,1596,9.620000000000001e-05
78,BLOCK16,1675,0.0001082
79,BLOCK16,1758,0.00011020000000000001
80,BLOCK16,1845,0.0001104
81,BLOCK16,1937,0.000106
82,BLOCK16,2033,0.0001224
83,BLOCK16,2134,0.00011
84,BLOCK16,2240,0.0001204
85,BLOCK16,2351,0.0001426
86,BLOCK16,2468,0.0001246
87,BLOCK16,2591,0.0001262
88,BLOCK16,2720,0.00013399999999999998
89,BLOCK16,2856,0.000152
90,BLOCK16,2998,0.00015040000000000002
91,BLOCK16,3147,0.0001586
92,BLOCK16,3304,0.00017460000000000002
93,BLOCK16,3469,0.00016840000000000003
94,BLOCK16,3642,0.0001744
95,BLOCK16,3824,0.00019060000000000003
96,BLOCK16,4015,0.00018020000000000002
97,BLOCK16,4215,0.0002164
98,BLOCK16,4425,0.00021020000000000001
99,BLOCK16,4646,0.0002122
100,BLOCK16,4878,0.00024460000000000004
101,BLOCK16,5121,0.0002562
102,BLOCK16,5377,0.0002522
103,BLOCK16,5645,0.0002706
104,BLOCK16,5927,0.00028879999999999997
105,BLOCK16,6223,0.0002884
106,BLOCK16,6534,0.0002862
107,BLOCK16,6860,0.0003042
108,BLOCK16,7202,0.00034480000000000003
109,BLOCK16,7562,0.0003248
110,BLOCK16,7940,0.0003886
111,BLOCK16,8337,0.000361
112,BLOCK16,8753,0.000383
113,BLOCK16,9190,0.0003884
114,BLOCK16,9649,0.00041260000000000005
115,BLOCK16,10131,0.0004928
116,BLOCK16,10637,0.000475
117,BLOCK16,11168,0.000499
118,BLOCK16,11726,0.0005350000000000001
119,BLOCK16,12312,0.0005009999999999999
120,BLOCK16,12927,0.0005834
121,BLOCK16,13573,0.000591
122,BLOCK16,14251,0.0006414
123,BLOCK16,14963,0.000635
124,BLOCK16,15711,0.0006834
125,BLOCK16,16496,0.0007072000000000001
126,BLOCK16,17320,0.0007412
127,BLOCK16,18186,0.0007754000000000001
128,BLOCK16,19095,0.0008114
129,BLOCK16,20049,0.0008536
130,BLOCK16,21051,0.0009238
131,BLOCK16,22103,0.0009457999999999999
132,BLOCK16,23208,0.0009857999999999998
133,BLOCK16,24368,0.0010458
134,BLOCK16,25586,0.0009738
135,BLOCK16,26865,0.001072
136,BLOCK16,28208,0.0011702000000000001
137,BLOCK16,29618,0.0013104
138,BLOCK16,31098,0.0012324000000000002
139,BLOCK16,32652,0.0012548
140,BLOCK16,34284,0.0013502
141,BLOCK16,35998,0.0015866
142,BLOCK16,37797,0.0015730000000000002
143,BLOCK16,39686,0.0015752
144,BLOCK16,41670,0.0016510000000000001
145,BLOCK16,43753,0.0017956
146,BLOCK16,45940,0.0017211999999999998
147,BLOCK16,48236,0.0020136
148,BLOCK16,50647,0.00206
149,BLOCK16,53179,0.0020838000000000002
150,BLOCK16,55837,0.0022864
151,BLOCK16,58628,0.0024068
152,BLOCK16,61559,0.0026428
153,BLOCK16,64636,0.0027634
154,BLOCK16,67867,0.0027634
155,BLOCK16,71260,0.0029074
156,BLOCK16,74822,0.003342
157,BLOCK16,78563,0.0032643999999999998
158,BLOCK16,82491,0.0032096
159,BLOCK16,86615,0.003208
160,BLOCK16,90945,0.0040516
161,BLOCK16,95492,0.0041735999999999995
162,BLOCK16,100266,0.0038894
163,BLOCK16,105279,0.004458800000000001
164,BLOCK16,110542,0.0043864
165,BLOCK16,116069,0.004718999999999999
166,BLOCK16,121872,0.004719
167,BLOCK16,127965,0.0052018
168,BLOCK16,134363,0.0052122
169,BLOCK16,141081,0.0054342
170,BLOCK16,148135,0.0059172
171,BLOCK16,155541,0.0063820000000000005
172,BLOCK16,163318,0.007051400000000001
173,BLOCK16,171483,0.0064764
174,BLOCK16,180057,0.0077967999999999996
175,BLOCK16,189059,0.0078292
176,BLOCK16,198511,0.007831
177,BLOCK16,208436,0.0089992
178,BLOCK16,218857,0.0090032
179,BLOCK16,229799,0.0099492
180,BLOCK16,241288,0.0101692
181,BLOCK16,253352,0.011111
182,BLOCK16,266019,0.011153199999999999
183,BLOCK16,279319,0.0117382
184,BLOCK16,293284,0.0115138
185,BLOCK16,307948,0.012542000000000001
186,BLOCK16,323345,0.0165574
187,BLOCK16,339512,0.0154574
188,BLOCK16,356487,0.014070599999999999
189,BLOCK16,374311,0.0166918
190,BLOCK16,393026,0.0168764
191,BLOCK16,412677,0.0190064
192,BLOCK16,433310,0.016992600000000004
193,BLOCK16,454975,0.0190864
194,BLOCK16,477723,0.0187616
195,BLOCK16,501609,0.020487
196,BLOCK16,526689,0.022480800000000002
197,BLOCK16,553023,0.0234466
198,BLOCK16,580674,0.024929200000000002
199,BLOCK16,609707,0.026805000000000002
200,BLOCK16,640192,0.0278952
201,BLOCK16,672201,0.0363568
202,BLOCK16,705811,0.047196
203,BLOCK16,741101,0.035054999999999996
204,BLOCK16,778156,0.0351188
205,BLOCK16,817063,0.042076
206,BLOCK16,857916,0.040491
207,BLOCK16,900811,0.0369266
208,BLOCK16,945851,0.0455586
209,BLOCK16,993143,0.0443444
210,BLOCK16,1042800,0.0473864
211,BLOCK16,1094940,0.0511234
212,BLOCK16,1149687,0.055325400000000004
213,BLOCK16,1207171,0.05767219999999999
214,BLOCK16,1267529,0.055133
215,BLOCK16,1330905,0.058753999999999994
216,BLOCK16,1397450,0.060369000000000006
217,BLOCK16,1467322,0.0608
218,BLOCK16,1540688,0.0667572
219,BLOCK16,1617722,0.0748206
220,BLOCK16,1698608,0.08588359999999999
221,BLOCK16,1783538,0.0733838
222,BLOCK16,1872714,0.0947764
223,BLOCK16,1966349,0.10073000000000001
224,BLOCK16,2064666,0.0885008
225,BLOCK16,2167899,0.0862802
226,BLOCK16,2276293,0.10939239999999999
227,BLOCK16,2390107,0.1016134
228,BLOCK16,2509612,0.1211608
229,BLOCK16,2635092,0.11869480000000002
230,BLOCK16,2766846,0.13961
231,BLOCK16,2905188,0.13219180000000003
232,BLOCK16,3050447,0.1441046
233,BLOCK16,3202969,0.14938440000000003
234,BLOCK16,3363117,0.1615914
235,BLOCK16,3531272,0.21215799999999999
236,BLOCK16,3707835,0.177726
237,BLOCK16,3893226,0.19582
238,BLOCK16,4087887,0.2461652
239,BLOCK16,4292281,0.20257260000000002
240,BLOCK16,4506895,0.26664180000000004
241,BLOCK16,4732239,0.258697
242,BLOCK16,4968850,0.2794298
243,BLOCK16,5217292,0.338287
244,BLOCK16,5478156,0.35681440000000003
245,BLOCK16,5752063,0.395858
246,BLOCK16,6039666,0.4352526
247,BLOCK16,6341649,0.4480246
248,BLOCK16,6658731,0.4906892
249,BLOCK16,6991667,0.5245232
250,BLOCK16,7341250,0.6112088
251,BLOCK16,7708312,0.6714285999999999
252,BLOCK16,8093727,0.6969708000000001
253,BLOCK16,8498413,0.6917792
254,BLOCK16,8923333,0.7998196
255,BLOCK16,9369499,0.8433916
256,BLOCK16,9837973,0.8813812000000001
257,BLOCK16,10329871,0.8948112
258,BLOCK16,10846364,0.9627950000000001
259,BLOCK16,11388682,0.9845919999999999
260,BLOCK16,11958116,1.0148594
261,BLOCK16,12556021,1.1136738
262,BLOCK16,13183822,1.3069794
263,BLOCK16,13843013,1.32874
264,BLOCK16,14535163,1.494369
265,BLOCK16,15261921,1.4844024
266,BLOCK16,16025017,1.6713234
267,BLOCK16,16826267,1.7322354
268,BLOCK16,17667580,1.7994366
269,BLOCK16,18550958,1.8684952
