MODE,PROBLEM_SCALE,NUM_THREADS,TIME_MS
COMP_BOUND_SERIAL,10000, 1, 354.689654
COMP_BOUND_THREAD,10000, 1, 351.349505
COMP_BOUND_THREAD,10000, 2, 176.000297
COMP_BOUND_THREAD,10000, 3, 116.272654
COMP_BOUND_THREAD,10000, 4, 95.735299
COMP_BOUND_THREAD,10000, 5, 72.826367
COMP_BOUND_THREAD,10000, 6, 62.839082
COMP_BOUND_THREAD,10000, 7, 57.211590
COMP_BOUND_THREAD,10000, 8, 50.466234
COMP_BOUND_THREAD,10000, 9, 40.863412
COMP_BOUND_THREAD,10000, 10, 38.300543
COMP_BOUND_THREAD,10000, 11, 37.463405
COMP_BOUND_THREAD,10000, 12, 38.287426
COMP_BOUND_SERIAL,10000, 1, 357.415439
COMP_BOUND_THREAD,10000, 1, 339.751507
COMP_BOUND_THREAD,10000, 2, 174.104055
COMP_BOUND_THREAD,10000, 3, 122.789140
COMP_BOUND_THREAD,10000, 4, 93.398422
COMP_BOUND_THREAD,10000, 5, 78.117186
COMP_BOUND_THREAD,10000, 6, 62.563514
COMP_BOUND_THREAD,10000, 7, 59.463691
COMP_BOUND_THREAD,10000, 8, 49.551252
COMP_BOUND_THREAD,10000, 9, 42.647450
COMP_BOUND_THREAD,10000, 10, 38.775961
COMP_BOUND_THREAD,10000, 11, 36.668128
COMP_BOUND_THREAD,10000, 12, 30.880752
COMP_BOUND_SERIAL,10000, 1, 335.682314
COMP_BOUND_THREAD,10000, 1, 336.927958
COMP_BOUND_THREAD,10000, 2, 170.412031
COMP_BOUND_THREAD,10000, 3, 115.792081
COMP_BOUND_THREAD,10000, 4, 96.760965
COMP_BOUND_THREAD,10000, 5, 75.449140
COMP_BOUND_THREAD,10000, 6, 64.825364
COMP_BOUND_THREAD,10000, 7, 55.478348
COMP_BOUND_THREAD,10000, 8, 46.633387
COMP_BOUND_THREAD,10000, 9, 43.001402
COMP_BOUND_THREAD,10000, 10, 37.367201
COMP_BOUND_THREAD,10000, 11, 36.486420
COMP_BOUND_THREAD,10000, 12, 32.353241
COMP_BOUND_SERIAL,10000, 1, 335.559447
COMP_BOUND_THREAD,10000, 1, 335.510750
COMP_BOUND_THREAD,10000, 2, 179.384967
COMP_BOUND_THREAD,10000, 3, 114.455785
COMP_BOUND_THREAD,10000, 4, 89.078692
COMP_BOUND_THREAD,10000, 5, 73.558744
COMP_BOUND_THREAD,10000, 6, 60.357529
COMP_BOUND_THREAD,10000, 7, 56.775995
COMP_BOUND_THREAD,10000, 8, 47.793656
COMP_BOUND_THREAD,10000, 9, 41.456701
COMP_BOUND_THREAD,10000, 10, 37.719791
COMP_BOUND_THREAD,10000, 11, 36.411637
COMP_BOUND_THREAD,10000, 12, 30.521554
COMP_BOUND_SERIAL,10000, 1, 339.328674
COMP_BOUND_THREAD,10000, 1, 334.951255
COMP_BOUND_THREAD,10000, 2, 174.130499
COMP_BOUND_THREAD,10000, 3, 119.956431
COMP_BOUND_THREAD,10000, 4, 87.055195
COMP_BOUND_THREAD,10000, 5, 75.168098
COMP_BOUND_THREAD,10000, 6, 62.409675
COMP_BOUND_THREAD,10000, 7, 55.634173
COMP_BOUND_THREAD,10000, 8, 47.415869
COMP_BOUND_THREAD,10000, 9, 42.828211
COMP_BOUND_THREAD,10000, 10, 38.623501
COMP_BOUND_THREAD,10000, 11, 35.714428
COMP_BOUND_THREAD,10000, 12, 30.583326
COMP_BOUND_SERIAL,10000, 1, 335.172878
COMP_BOUND_THREAD,10000, 1, 335.884209
COMP_BOUND_THREAD,10000, 2, 172.586086
COMP_BOUND_THREAD,10000, 3, 119.577889
COMP_BOUND_THREAD,10000, 4, 84.442182
COMP_BOUND_THREAD,10000, 5, 77.536746
COMP_BOUND_THREAD,10000, 6, 65.630130
