MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
TASK_PARALLEL,10,2,4,0.086581
TASK_PARALLEL,10,3,4,0.134559
TASK_PARALLEL,10,4,4,0.185798
TASK_PARALLEL,10,5,4,0.224627
TASK_PARALLEL,10,6,4,0.268546
TASK_PARALLEL,10,7,4,0.354450
TASK_PARALLEL,10,8,4,0.412007
TASK_PARALLEL,10,9,4,0.408323
TASK_PARALLEL,10,10,4,0.458922
TASK_PARALLEL,10,11,4,0.542850
TASK_PARALLEL,10,12,4,3.243083
TASK_PARALLEL,10,2,4,0.073719
TASK_PARALLEL,10,3,4,0.130186
TASK_PARALLEL,10,4,4,0.204072
TASK_PARALLEL,10,5,4,0.235671
TASK_PARALLEL,10,6,4,0.308211
TASK_PARALLEL,10,7,4,0.303662
TASK_PARALLEL,10,8,4,0.441197
TASK_PARALLEL,10,9,4,0.441060
TASK_PARALLEL,10,10,4,0.585395
TASK_PARALLEL,10,11,4,0.557343
TASK_PARALLEL,10,12,4,3.673425
TASK_PARALLEL,10,2,4,0.067049
TASK_PARALLEL,10,3,4,0.124183
TASK_PARALLEL,10,4,4,0.203208
TASK_PARALLEL,10,5,4,0.220580
TASK_PARALLEL,10,6,4,0.263889
TASK_PARALLEL,10,7,4,0.333119
TASK_PARALLEL,10,8,4,0.535059
TASK_PARALLEL,10,9,4,0.458196
TASK_PARALLEL,10,10,4,0.521461
TASK_PARALLEL,10,11,4,0.543716
TASK_PARALLEL,10,12,4,3.616055
TASK_PARALLEL,10,2,4,0.067647
TASK_PARALLEL,10,3,4,0.117728
TASK_PARALLEL,10,4,4,0.199249
TASK_PARALLEL,10,5,4,0.217946
TASK_PARALLEL,10,6,4,0.270885
TASK_PARALLEL,10,7,4,0.334995
TASK_PARALLEL,10,8,4,0.455818
TASK_PARALLEL,10,9,4,0.413411
TASK_PARALLEL,10,10,4,0.490010
TASK_PARALLEL,10,11,4,0.507097
TASK_PARALLEL,10,12,4,6.884144
