MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
SERIAL,10,1,4,0.000088
SERIAL,10,1,4,0.000136
SERIAL,10,1,4,0.000088
SERIAL,10,1,4,0.000088
SERIAL,10,1,4,0.000078
NAIVE_PARALLEL,10,1,4,0.003715
NAIVE_PARALLEL,10,2,4,0.091738
NAIVE_PARALLEL,10,3,3,0.105109
NAIVE_PARALLEL,10,4,4,0.145888
NAIVE_PARALLEL,10,5,3,0.187502
NAIVE_PARALLEL,10,6,4,0.236905
NAIVE_PARALLEL,10,7,3,0.282030
NAIVE_PARALLEL,10,8,3,0.324344
NAIVE_PARALLEL,10,9,5,0.422500
NAIVE_PARALLEL,10,10,5,0.435269
NAIVE_PARALLEL,10,11,3,0.477292
NAIVE_PARALLEL,10,12,4,3.773665
NAIVE_PARALLEL,10,1,4,0.001653
NAIVE_PARALLEL,10,2,4,0.057272
NAIVE_PARALLEL,10,3,4,0.116809
NAIVE_PARALLEL,10,4,4,0.139770
NAIVE_PARALLEL,10,5,2,0.184282
NAIVE_PARALLEL,10,6,3,0.234230
NAIVE_PARALLEL,10,7,4,0.279657
NAIVE_PARALLEL,10,8,2,0.365928
NAIVE_PARALLEL,10,9,4,0.490712
NAIVE_PARALLEL,10,10,4,0.425262
NAIVE_PARALLEL,10,11,4,0.486190
NAIVE_PARALLEL,10,12,5,3.800069
NAIVE_PARALLEL,10,1,4,0.001585
NAIVE_PARALLEL,10,2,4,0.056036
NAIVE_PARALLEL,10,3,4,0.095296
NAIVE_PARALLEL,10,4,3,0.150059
NAIVE_PARALLEL,10,5,5,0.184370
NAIVE_PARALLEL,10,6,3,0.234940
NAIVE_PARALLEL,10,7,3,0.297727
NAIVE_PARALLEL,10,8,4,0.313685
NAIVE_PARALLEL,10,9,4,0.406940
NAIVE_PARALLEL,10,10,3,0.428442
NAIVE_PARALLEL,10,11,4,0.485597
NAIVE_PARALLEL,10,12,4,3.817240
NAIVE_PARALLEL,10,1,4,0.001692
NAIVE_PARALLEL,10,2,4,0.055375
NAIVE_PARALLEL,10,3,4,0.096172
NAIVE_PARALLEL,10,4,3,0.141754
NAIVE_PARALLEL,10,5,3,0.186373
NAIVE_PARALLEL,10,6,4,0.233297
NAIVE_PARALLEL,10,7,4,0.271916
NAIVE_PARALLEL,10,8,3,0.315942
NAIVE_PARALLEL,10,9,4,0.378562
NAIVE_PARALLEL,10,10,3,0.597864
NAIVE_PARALLEL,10,11,2,0.474607
NAIVE_PARALLEL,10,12,5,4.192344
NAIVE_PARALLEL,10,1,4,0.001877
NAIVE_PARALLEL,10,2,4,0.055765
NAIVE_PARALLEL,10,3,4,0.094752
NAIVE_PARALLEL,10,4,3,0.147307
NAIVE_PARALLEL,10,5,3,0.198286
NAIVE_PARALLEL,10,6,5,0.980531
NAIVE_PARALLEL,10,7,3,0.273472
NAIVE_PARALLEL,10,8,3,0.339992
NAIVE_PARALLEL,10,9,3,0.368234
NAIVE_PARALLEL,10,10,3,0.515288
NAIVE_PARALLEL,10,11,3,1.737235
NAIVE_PARALLEL,10,12,5,3.896329
SERIAL,15,1,6,0.000107
SERIAL,15,1,6,0.000107
SERIAL,15,1,6,0.000117
SERIAL,15,1,6,0.000107
SERIAL,15,1,6,0.000117
NAIVE_PARALLEL,15,1,6,0.002567
NAIVE_PARALLEL,15,2,6,0.108163
NAIVE_PARALLEL,15,3,6,0.100587
NAIVE_PARALLEL,15,4,5,0.142192
NAIVE_PARALLEL,15,5,3,0.187842
NAIVE_PARALLEL,15,6,3,0.233900
NAIVE_PARALLEL,15,7,4,0.278081
NAIVE_PARALLEL,15,8,5,0.384494
NAIVE_PARALLEL,15,9,3,0.515978
NAIVE_PARALLEL,15,10,5,0.428005
NAIVE_PARALLEL,15,11,5,0.467615
NAIVE_PARALLEL,15,12,6,3.744650
NAIVE_PARALLEL,15,1,6,0.001634
NAIVE_PARALLEL,15,2,6,0.056581
NAIVE_PARALLEL,15,3,6,0.097067
NAIVE_PARALLEL,15,4,5,0.142288
NAIVE_PARALLEL,15,5,4,0.182143
