MODE,NUM_SAMPLES,NUM_THREADS,ESTIMATED_PI,TIME_MS
SERIAL, 10000000, 1, 3.140974, 182.298264
SERIAL, 10000000, 1, 3.141788, 184.038949
SERIAL, 10000000, 1, 3.142561, 179.202080
SERIAL, 10000000, 1, 3.140928, 179.537314
SERIAL, 10000000, 1, 3.141052, 182.764283
SERIAL, 10000000, 1, 3.141307, 183.634135
SERIAL, 10000000, 1, 3.142215, 177.499731
SERIAL, 10000000, 1, 3.141742, 178.833856
SERIAL, 10000000, 1, 3.140834, 177.821135
SERIAL, 10000000, 1, 3.141315, 181.981768
SERIAL, 10000000, 1, 3.140719, 176.528375
SERIAL, 10000000, 1, 3.142293, 184.830412
SERIAL, 10000000, 1, 3.142408, 180.782500
SERIAL, 10000000, 1, 3.141486, 177.615651
SERIAL, 10000000, 1, 3.141440, 179.285889
SERIAL, 10000000, 1, 3.140780, 178.982033
SERIAL, 10000000, 1, 3.141278, 181.124374
SERIAL, 10000000, 1, 3.141638, 181.348683
SERIAL, 10000000, 1, 3.142360, 178.734554
SERIAL, 10000000, 1, 3.141449, 177.587634
SERIAL, 10000000, 1, 3.142276, 178.401448
SERIAL, 10000000, 1, 3.141455, 175.872254
SERIAL, 10000000, 1, 3.141099, 182.104292
SERIAL, 10000000, 1, 3.141057, 177.605299
SERIAL, 10000000, 1, 3.141510, 179.821088
SERIAL, 10000000, 1, 3.141325, 176.646962
SERIAL, 10000000, 1, 3.141856, 185.085623
SERIAL, 10000000, 1, 3.141506, 179.571513
SERIAL, 10000000, 1, 3.141406, 183.915955
SERIAL, 10000000, 1, 3.140917, 180.296174
NAIVE_PARALLEL, 10000000, 1, 3.141080, 220.688325
NAIVE_PARALLEL, 10000000, 3, 2.144078, 131.315620
NAIVE_PARALLEL, 10000000, 6, 1.052631, 97.390325
NAIVE_PARALLEL, 10000000, 12, 0.729582, 113.282572
NAIVE_PARALLEL, 10000000, 1, 3.141051, 223.342856
NAIVE_PARALLEL, 10000000, 3, 2.106054, 131.003811
NAIVE_PARALLEL, 10000000, 6, 1.053163, 117.658017
NAIVE_PARALLEL, 10000000, 12, 0.701377, 97.227998
NAIVE_PARALLEL, 10000000, 1, 3.142000, 219.745431
NAIVE_PARALLEL, 10000000, 3, 2.129571, 129.418311
NAIVE_PARALLEL, 10000000, 6, 1.055003, 98.626764
NAIVE_PARALLEL, 10000000, 12, 0.687798, 111.680380
NAIVE_PARALLEL, 10000000, 1, 3.141779, 220.911222
NAIVE_PARALLEL, 10000000, 3, 2.113421, 127.169558
NAIVE_PARALLEL, 10000000, 6, 1.004663, 115.005584
NAIVE_PARALLEL, 10000000, 12, 0.749951, 113.751440
NAIVE_PARALLEL, 10000000, 1, 3.141871, 221.225417
NAIVE_PARALLEL, 10000000, 3, 2.168420, 132.295831
NAIVE_PARALLEL, 10000000, 6, 1.050214, 114.407775
NAIVE_PARALLEL, 10000000, 12, 0.675954, 112.439059
NAIVE_PARALLEL, 10000000, 1, 3.141391, 221.601103
NAIVE_PARALLEL, 10000000, 3, 2.135636, 127.648522
NAIVE_PARALLEL, 10000000, 6, 1.097038, 116.818606
NAIVE_PARALLEL, 10000000, 12, 0.763319, 118.325592
NAIVE_PARALLEL, 10000000, 1, 3.141895, 232.574807
NAIVE_PARALLEL, 10000000, 3, 2.132822, 130.528124
NAIVE_PARALLEL, 10000000, 6, 1.162847, 115.017136
NAIVE_PARALLEL, 10000000, 12, 0.777063, 98.656120
NAIVE_PARALLEL, 10000000, 1, 3.141424, 241.338176
NAIVE_PARALLEL, 10000000, 3, 2.171992, 128.009714
NAIVE_PARALLEL, 10000000, 6, 1.066251, 113.035982
NAIVE_PARALLEL, 10000000, 12, 0.803680, 117.272968
NAIVE_PARALLEL, 10000000, 1, 3.141947, 224.563073
NAIVE_PARALLEL, 10000000, 3, 2.146076, 129.609160
NAIVE_PARALLEL, 10000000, 6, 1.074626, 99.096751
NAIVE_PARALLEL, 10000000, 12, 0.764526, 98.587783
NAIVE_PARALLEL, 10000000, 1, 3.142175, 238.634227
NAIVE_PARALLEL, 10000000, 3, 2.130056, 129.879502
NAIVE_PARALLEL, 10000000, 6, 1.115856, 114.483917
NAIVE_PARALLEL, 10000000, 12, 0.675778, 108.503556
NAIVE_PARALLEL, 10000000, 1, 3.141868, 223.985023
NAIVE_PARALLEL, 10000000, 3, 2.133997, 121.368767
NAIVE_PARALLEL, 10000000, 6, 1.088018, 113.564415
NAIVE_PARALLEL, 10000000, 12, 0.746591, 111.534895
NAIVE_PARALLEL, 10000000, 1, 3.140778, 225.020677
NAIVE_PARALLEL, 10000000, 3, 2.131800, 128.169205
NAIVE_PARALLEL, 10000000, 6, 1.135017, 101.309368
NAIVE_PARALLEL, 10000000, 12, 0.876096, 119.418722
NAIVE_PARALLEL, 10000000, 1, 3.141254, 222.853313
NAIVE_PARALLEL, 10000000, 3, 2.131202, 127.198535
NAIVE_PARALLEL, 10000000, 6, 1.087838, 113.719455
NAIVE_PARALLEL, 10000000, 12, 0.647191, 106.267465
NAIVE_PARALLEL, 10000000, 1, 3.141302, 229.738302
NAIVE_PARALLEL, 10000000, 3, 2.135222, 128.955469
NAIVE_PARALLEL, 10000000, 6, 1.099962, 115.050698
NAIVE_PARALLEL, 10000000, 12, 0.659656, 97.580581
NAIVE_PARALLEL, 10000000, 1, 3.141486, 222.067599
NAIVE_PARALLEL, 10000000, 3, 2.136220, 132.007113
NAIVE_PARALLEL, 10000000, 6, 1.078133, 116.083528
NAIVE_PARALLEL, 10000000, 12, 0.703308, 114.603405
NAIVE_PARALLEL, 10000000, 1, 3.141324, 221.782713
NAIVE_PARALLEL, 10000000, 3, 2.116487, 128.786806
NAIVE_PARALLEL, 10000000, 6, 1.109901, 116.237734
NAIVE_PARALLEL, 10000000, 12, 0.706832, 109.972756
NAIVE_PARALLEL, 10000000, 1, 3.142065, 220.863231
NAIVE_PARALLEL, 10000000, 3, 2.180627, 131.342328
NAIVE_PARALLEL, 10000000, 6, 1.096612, 113.140774
NAIVE_PARALLEL, 10000000, 12, 0.750183, 116.707491
NAIVE_PARALLEL, 10000000, 1, 3.141571, 225.239955
NAIVE_PARALLEL, 10000000, 3, 2.153792, 120.179101
NAIVE_PARALLEL, 10000000, 6, 1.072286, 112.136831
NAIVE_PARALLEL, 10000000, 12, 0.728398, 113.491462
NAIVE_PARALLEL, 10000000, 1, 3.141208, 224.372618
NAIVE_PARALLEL, 10000000, 3, 2.107980, 126.399304
NAIVE_PARALLEL, 10000000, 6, 1.075462, 113.156329
NAIVE_PARALLEL, 10000000, 12, 0.713567, 96.872309
NAIVE_PARALLEL, 10000000, 1, 3.142000, 220.388757
NAIVE_PARALLEL, 10000000, 3, 2.169276, 132.443052
NAIVE_PARALLEL, 10000000, 6, 1.119190, 99.556449
NAIVE_PARALLEL, 10000000, 12, 0.819619, 116.814411
NAIVE_PARALLEL, 10000000, 1, 3.140804, 225.266120
NAIVE_PARALLEL, 10000000, 3, 2.108553, 129.316531
NAIVE_PARALLEL, 10000000, 6, 1.062917, 114.652373
NAIVE_PARALLEL, 10000000, 12, 0.700484, 112.718524
NAIVE_PARALLEL, 10000000, 1, 3.141514, 220.477261
NAIVE_PARALLEL, 10000000, 3, 2.118781, 127.796514
NAIVE_PARALLEL, 10000000, 6, 1.192320, 116.881889
NAIVE_PARALLEL, 10000000, 12, 0.693716, 99.894955
NAIVE_PARALLEL, 10000000, 1, 3.141510, 226.995327
NAIVE_PARALLEL, 10000000, 3, 2.135771, 129.440386
NAIVE_PARALLEL, 10000000, 6, 1.015198, 114.578437
NAIVE_PARALLEL, 10000000, 12, 0.703416, 115.144932
NAIVE_PARALLEL, 10000000, 1, 3.141492, 221.922817
NAIVE_PARALLEL, 10000000, 3, 2.139316, 130.780909
NAIVE_PARALLEL, 10000000, 6, 1.063089, 118.514409
NAIVE_PARALLEL, 10000000, 12, 0.796062, 113.154031
NAIVE_PARALLEL, 10000000, 1, 3.142867, 223.011464
NAIVE_PARALLEL, 10000000, 3, 2.153462, 128.153544
NAIVE_PARALLEL, 10000000, 6, 1.136851, 101.086677
NAIVE_PARALLEL, 10000000, 12, 0.768125, 99.372796
NAIVE_PARALLEL, 10000000, 1, 3.142035, 226.668102
NAIVE_PARALLEL, 10000000, 3, 2.136798, 127.605819
NAIVE_PARALLEL, 10000000, 6, 1.074120, 98.355074
NAIVE_PARALLEL, 10000000, 12, 0.709906, 113.735894
NAIVE_PARALLEL, 10000000, 1, 3.141243, 220.972521
NAIVE_PARALLEL, 10000000, 3, 2.143358, 123.520385
NAIVE_PARALLEL, 10000000, 6, 1.084943, 116.243927
NAIVE_PARALLEL, 10000000, 12, 0.821399, 115.908312
NAIVE_PARALLEL, 10000000, 1, 3.141463, 223.478881
NAIVE_PARALLEL, 10000000, 3, 2.104095, 118.803584
NAIVE_PARALLEL, 10000000, 6, 1.167141, 99.929986
NAIVE_PARALLEL, 10000000, 12, 0.636838, 97.354278
NAIVE_PARALLEL, 10000000, 1, 3.141588, 221.533168
NAIVE_PARALLEL, 10000000, 3, 2.110501, 128.206191
NAIVE_PARALLEL, 10000000, 6, 1.164519, 116.557372
NAIVE_PARALLEL, 10000000, 12, 0.610960, 109.795244
NAIVE_PARALLEL, 10000000, 1, 3.142111, 223.920855
NAIVE_PARALLEL, 10000000, 3, 2.123328, 125.768936
NAIVE_PARALLEL, 10000000, 6, 1.060054, 114.221201
NAIVE_PARALLEL, 10000000, 12, 0.724171, 113.303777
PARALLEL, 10000000, 1, 3.141196, 184.626296
PARALLEL, 10000000, 3, 3.141791, 73.178744
PARALLEL, 10000000, 6, 3.142095, 40.075294
PARALLEL, 10000000, 12, 3.140489, 37.822576
PARALLEL, 10000000, 1, 3.141161, 187.444319
PARALLEL, 10000000, 3, 3.141140, 66.798879
PARALLEL, 10000000, 6, 3.141247, 39.127616
PARALLEL, 10000000, 12, 3.141921, 39.429531
PARALLEL, 10000000, 1, 3.141434, 187.230354
PARALLEL, 10000000, 3, 3.141848, 65.169410
PARALLEL, 10000000, 6, 3.141847, 38.422400
PARALLEL, 10000000, 12, 3.142191, 35.543456
PARALLEL, 10000000, 1, 3.141724, 185.023026
PARALLEL, 10000000, 3, 3.141572, 70.711602
PARALLEL, 10000000, 6, 3.141526, 41.753002
PARALLEL, 10000000, 12, 3.141827, 37.795316
PARALLEL, 10000000, 1, 3.141842, 189.175647
PARALLEL, 10000000, 3, 3.142760, 64.158104
PARALLEL, 10000000, 6, 3.141015, 40.739251
PARALLEL, 10000000, 12, 3.141222, 40.262823
PARALLEL, 10000000, 1, 3.141463, 183.166141
PARALLEL, 10000000, 3, 3.141625, 66.633978
PARALLEL, 10000000, 6, 3.141210, 39.318753
PARALLEL, 10000000, 12, 3.142205, 38.126296
PARALLEL, 10000000, 1, 3.140972, 186.051226
PARALLEL, 10000000, 3, 3.141980, 69.076578
PARALLEL, 10000000, 6, 3.141147, 39.540377
PARALLEL, 10000000, 12, 3.140651, 42.611390
PARALLEL, 10000000, 1, 3.141236, 203.226286
PARALLEL, 10000000, 3, 3.140519, 69.360698
PARALLEL, 10000000, 6, 3.140940, 40.272315
PARALLEL, 10000000, 12, 3.140444, 36.503191
PARALLEL, 10000000, 1, 3.141647, 202.077515
PARALLEL, 10000000, 3, 3.141693, 69.828285
PARALLEL, 10000000, 6, 3.141570, 41.619597
PARALLEL, 10000000, 12, 3.141958, 36.808439
PARALLEL, 10000000, 1, 3.141618, 189.012746
