MODE,NUM_THREADS,ALT_COST,ENTRY_COUNT,TIME_MS
TASK_PARALLEL, 1, 115, 255, 10.280426
TASK_PARALLEL, 2, 60, 255, 5.580135
TASK_PARALLEL, 3, 40, 255, 4.430426
TASK_PARALLEL, 4, 31, 255, 3.602250
TASK_PARALLEL, 5, 25, 255, 3.135569
TASK_PARALLEL, 6, 21, 255, 3.882046
TASK_PARALLEL, 7, 21, 255, 3.177673
TASK_PARALLEL, 8, 18, 255, 3.245528
TASK_PARALLEL, 9, 16, 255, 3.283199
TASK_PARALLEL, 10, 15, 255, 3.349805
TASK_PARALLEL, 11, 17, 255, 3.257381
TASK_PARALLEL, 12, 15, 255, 4.234465
TASK_PARALLEL, 1, 115, 255, 9.881268
TASK_PARALLEL, 2, 61, 255, 6.034359
TASK_PARALLEL, 3, 42, 255, 4.341873
TASK_PARALLEL, 4, 29, 255, 3.900371
TASK_PARALLEL, 5, 25, 255, 3.179934
TASK_PARALLEL, 6, 21, 255, 3.233300
TASK_PARALLEL, 7, 20, 255, 3.197111
TASK_PARALLEL, 8, 19, 255, 3.106375
TASK_PARALLEL, 9, 19, 255, 3.227545
TASK_PARALLEL, 10, 22, 255, 3.407150
TASK_PARALLEL, 11, 18, 255, 3.457040
TASK_PARALLEL, 12, 19, 255, 3.713997
TASK_PARALLEL, 1, 115, 255, 9.800065
TASK_PARALLEL, 2, 59, 255, 5.513782
TASK_PARALLEL, 3, 43, 255, 4.312993
TASK_PARALLEL, 4, 31, 255, 3.580684
TASK_PARALLEL, 5, 24, 255, 3.166778
TASK_PARALLEL, 6, 21, 255, 3.211463
TASK_PARALLEL, 7, 20, 255, 3.250267
TASK_PARALLEL, 8, 20, 255, 3.306032
TASK_PARALLEL, 9, 16, 255, 3.182600
TASK_PARALLEL, 10, 16, 255, 3.258158
TASK_PARALLEL, 11, 15, 255, 3.564052
TASK_PARALLEL, 12, 13, 255, 3.619457
TASK_PARALLEL, 1, 115, 255, 9.608352
TASK_PARALLEL, 2, 58, 255, 5.512860
TASK_PARALLEL, 3, 41, 255, 4.476939
TASK_PARALLEL, 4, 32, 255, 3.693823
TASK_PARALLEL, 5, 28, 255, 3.257469
TASK_PARALLEL, 6, 22, 255, 3.143674
TASK_PARALLEL, 7, 20, 255, 3.370189
TASK_PARALLEL, 8, 18, 255, 3.948667
TASK_PARALLEL, 9, 17, 255, 3.218542
TASK_PARALLEL, 10, 18, 255, 3.398390
TASK_PARALLEL, 11, 15, 255, 3.537339
TASK_PARALLEL, 12, 14, 255, 9.791914
