MODE,NUM_THREADS,ALT_COST,ENTRY_COUNT,TIME_MS
SERIAL, 1, 18, 50, 18003.131101
SERIAL, 1, 18, 50, 18003.477962
SERIAL, 1, 18, 50, 18003.219508
SERIAL, 1, 18, 50, 18003.267704
SERIAL, 1, 18, 50, 18002.790140
TASK_PARALLEL, 1, 18, 50, 18003.461872
TASK_PARALLEL, 2, 10, 50, 12002.858047
TASK_PARALLEL, 3, 7, 50, 10002.146191
TASK_PARALLEL, 4, 6, 50, 9001.995181
TASK_PARALLEL, 5, 8, 50, 9002.032920
TASK_PARALLEL, 6, 8, 50, 9002.265489
TASK_PARALLEL, 7, 6, 50, 9002.867508
TASK_PARALLEL, 8, 5, 50, 9002.353859
TASK_PARALLEL, 9, 7, 50, 9002.971542
TASK_PARALLEL, 10, 5, 50, 9002.638853
TASK_PARALLEL, 11, 6, 50, 9003.483799
TASK_PARALLEL, 12, 4, 50, 9002.677798
TASK_PARALLEL, 1, 18, 50, 18004.114230
TASK_PARALLEL, 2, 10, 50, 12003.216214
TASK_PARALLEL, 3, 8, 50, 10002.417564
TASK_PARALLEL, 4, 7, 50, 9001.991981
TASK_PARALLEL, 5, 7, 50, 9002.881560
TASK_PARALLEL, 6, 9, 50, 9002.281238
TASK_PARALLEL, 7, 6, 50, 9002.183744
TASK_PARALLEL, 8, 4, 50, 9002.890987
TASK_PARALLEL, 9, 4, 50, 9002.586383
TASK_PARALLEL, 10, 5, 50, 9002.461030
TASK_PARALLEL, 11, 6, 50, 9002.740370
TASK_PARALLEL, 12, 5, 50, 9003.219185
TASK_PARALLEL, 1, 18, 50, 18003.165351
TASK_PARALLEL, 2, 10, 50, 12002.794125
TASK_PARALLEL, 3, 7, 50, 10002.148671
TASK_PARALLEL, 4, 6, 50, 9002.135271
TASK_PARALLEL, 5, 6, 50, 9002.152697
TASK_PARALLEL, 6, 5, 50, 9002.888116
TASK_PARALLEL, 7, 6, 50, 9002.183077
TASK_PARALLEL, 8, 6, 50, 9003.054881
TASK_PARALLEL, 9, 6, 50, 9002.371061
TASK_PARALLEL, 10, 7, 50, 9004.809866
TASK_PARALLEL, 11, 7, 50, 9002.689876
TASK_PARALLEL, 12, 5, 50, 9009.936694
TASK_PARALLEL, 1, 18, 50, 18003.617882
TASK_PARALLEL, 2, 10, 50, 12002.986839
TASK_PARALLEL, 3, 10, 50, 10002.712397
TASK_PARALLEL, 4, 6, 50, 9002.241082
TASK_PARALLEL, 5, 6, 50, 9003.089319
TASK_PARALLEL, 6, 6, 50, 9002.091102
TASK_PARALLEL, 7, 8, 50, 9002.242037
TASK_PARALLEL, 8, 4, 50, 9003.041282
TASK_PARALLEL, 9, 5, 50, 9003.025082
TASK_PARALLEL, 10, 5, 50, 9002.626841
TASK_PARALLEL, 11, 5, 50, 9003.394673
TASK_PARALLEL, 12, 4, 50, 9011.915369
TASK_PARALLEL, 1, 18, 50, 18003.721002
TASK_PARALLEL, 2, 10, 50, 12002.636250
TASK_PARALLEL, 3, 7, 50, 10002.216387
TASK_PARALLEL, 4, 7, 50, 9002.385160
TASK_PARALLEL, 5, 6, 50, 9002.796871
TASK_PARALLEL, 6, 6, 50, 9002.171782
TASK_PARALLEL, 7, 6, 50, 9002.245010
TASK_PARALLEL, 8, 6, 50, 9003.001609
TASK_PARALLEL, 9, 4, 50, 9002.403968
TASK_PARALLEL, 10, 7, 50, 9003.201273
TASK_PARALLEL, 11, 6, 50, 9003.265953
TASK_PARALLEL, 12, 4, 50, 9009.290354
TASK_PARALLEL_OPTIMIZED, 1, 18, 50, 18003.319919
TASK_PARALLEL_OPTIMIZED, 2, 10, 50, 10002.476512
TASK_PARALLEL_OPTIMIZED, 3, 7, 50, 7002.030902
TASK_PARALLEL_OPTIMIZED, 4, 6, 50, 6001.997139
TASK_PARALLEL_OPTIMIZED, 5, 6, 50, 6001.529602
TASK_PARALLEL_OPTIMIZED, 6, 5, 50, 5001.574016
TASK_PARALLEL_OPTIMIZED, 7, 5, 50, 5001.745434
TASK_PARALLEL_OPTIMIZED, 8, 5, 50, 5002.490782
TASK_PARALLEL_OPTIMIZED, 9, 5, 50, 5001.710369
TASK_PARALLEL_OPTIMIZED, 10, 4, 50, 4002.593190
TASK_PARALLEL_OPTIMIZED, 11, 4, 50, 4002.120537
TASK_PARALLEL_OPTIMIZED, 12, 4, 50, 4010.653306
TASK_PARALLEL_OPTIMIZED, 1, 18, 50, 18003.365510
TASK_PARALLEL_OPTIMIZED, 2, 10, 50, 10002.565051
TASK_PARALLEL_OPTIMIZED, 3, 7, 50, 7002.171866
TASK_PARALLEL_OPTIMIZED, 4, 6, 50, 6001.709483
TASK_PARALLEL_OPTIMIZED, 5, 6, 50, 6001.664232
TASK_PARALLEL_OPTIMIZED, 6, 5, 50, 5002.283830
TASK_PARALLEL_OPTIMIZED, 7, 5, 50, 5001.836167
TASK_PARALLEL_OPTIMIZED, 8, 5, 50, 5001.593556
TASK_PARALLEL_OPTIMIZED, 9, 5, 50, 5001.921151
TASK_PARALLEL_OPTIMIZED, 10, 4, 50, 4002.581699
TASK_PARALLEL_OPTIMIZED, 11, 4, 50, 4002.313058
TASK_PARALLEL_OPTIMIZED, 12, 4, 50, 4010.429500
TASK_PARALLEL_OPTIMIZED, 1, 18, 50, 18004.553969
TASK_PARALLEL_OPTIMIZED, 2, 10, 50, 10002.162822
TASK_PARALLEL_OPTIMIZED, 3, 7, 50, 7002.269827
TASK_PARALLEL_OPTIMIZED, 4, 6, 50, 6001.787296
TASK_PARALLEL_OPTIMIZED, 5, 6, 50, 6002.436127
TASK_PARALLEL_OPTIMIZED, 6, 5, 50, 5001.614234
TASK_PARALLEL_OPTIMIZED, 7, 5, 50, 5002.647770
TASK_PARALLEL_OPTIMIZED, 8, 5, 50, 5002.009678
TASK_PARALLEL_OPTIMIZED, 9, 5, 50, 5002.454509
TASK_PARALLEL_OPTIMIZED, 10, 4, 50, 4002.396855
